message;number of retweets; user id
RT @civcatt: #4aprile #martinlutherking https://t.co/LiEPV1L4NQ https://t.co/EM7RMAMn1K;1;384862671
RT @trendinaliaIT: ⒈ #4aprile #Murakami #SaloneDelMobile #mentrePassa #TIMHiTech2017/4/4 12:58 CEST #trndnl https://t.co/1z2nx2qb…;3;468129321

https://t.co/pJHQ09JvdM #4aprile #4April #digitalinfluencerday #digitalrevolution #apinchofgingerspice #Influencer #influencers;0;168731913

RT @romacinemafest: "Amo recitare. Ma tutta  questa fama... Non faccio niente di sovrannaturale. Non so se me lo merito". Il #4aprile 1979…;42;280527752

RT @GiuseppeTurrisi: "Mi hanno detto «fermati!», non mi hanno chiesto mica «dove vai?»" #FrancescoDeGregori #4aprile #BuonCompleanno;5;741274807

Non chiamiamoli “lupi solitari” https://t.co/ok52gMgUK4 - via @ilpost #4aprile #sanpietroburgo #terrorismo;0;2445286363

RT @SkyCinemaIT: Un talento raro quello di #HeathLedger , scomparso nel 2008. L’attore avrebbe compiuto oggi #38anni #4Aprile https://t.co/…;16;836697530696093697

Lamentable lo ocurrido en #JanSeijin  #Siria .Un ataque con gases químicos. Donde quedó el sentido común?Niños y muchos inocentes murieron;0;51876726

RT @RenovaMidia: #SÍRIA: Jihadistas sequestraram centenas de civis do vilarejo de #Khattab , em #Hama, antes de abandonarem a cidade https:/…;2;771035442141597696

RT @RaiNews: #siria , ong: raid aereo con gas a Idlib. Bilancio sale ad almeno 100 morti,11 sono bambini. Forse utilizzato #cloro →https://t…;29;785459014721212416

#Siria #Cuba #USA #US #Venezuela https://t.co/sXvN8jPmmS;0;41929478

Bestie. #Siria #Assad #Idlib https://t.co/elifQvbA0q via @fattoquotidiano;0;389994501

@GabrieleBecatt2 @ilmessaggeroit Ogni volta che avete tirato fuori queste cazzate sulla #siria siete stati smentiti… https://t.co/TzwqWoNnqK;0;111936352

RT @NamanTarcha: #Ue Presunti Attacchi chiamici di #Damasco ad ogni conferenza: #Bruxelles ospita una conferenza sul futuro della #Siria🇸🇾…;8;738458956453056513

RT @Gazzettino: #siria , raid di #assad con #gas tossici: morti 58 civili, almeno 11 bambini https://t.co/VJUVEM6tX5 https://t.co/xttBkTjfW1;1;1434133657

RT @Radio1Rai: NEWS/ Attacco chimico #Siria . Esercito russo nega di aver condotto raid aerei nella provincia di #Idlib .(Foto EMC, gruppo d…;2;50471078

RT @ComuneMI: Fino a domenica 9 aprile le stazioni del BikeMi saranno attive 24 ore su 24 #SaloneDelMobile https://t.co/FQmNm9SWko https://…;13;411076021

RT @FullEventMotive: Al via l'#edizione #2017 del #SaloneDelMobile e del #Fuorisalone2017 . Iniziamo ad esplorare il #distretto di #milanod…;1;400197414

RT @trendinaliaIT: ⒈ #4aprile #Murakami #SaloneDelMobile #mentrePassa #TIMHiTech2017/4/4 12:58 CEST #trndnl https://t.co/1z2nx2qb…;3;468129321

RT @iSaloniofficial: Be the first to see the latest at #SalonedelMobile #Milano, the event that over time has become a “must-see” &gt https:/…;202;711489466351927296

RT @24ImpresaTerr: Mattarella apre il #SaloneDelMobile : Orgoglio e soddisfazione per un settore che rappresenta l'Italia positiva che vuol…;13;1142895247

